restaurant_name_clean,combined_cost_deliveroo,combined_cost_takeaway,delivery_fee_deliveroo,delivery_fee_takeaway,min_order_deliveroo,min_order_takeaway,rating_deliveroo,rating_takeaway,rating_count_deliveroo,rating_count_takeaway,total_delivery_time_deliveroo,total_delivery_time_takeaway,weighted_rating_deliveroo,weighted_rating_takeaway
planet yoghurt - planet pasta,9.99,18.04,4.99,4.04,5.0,14.0,4.133333333333333,3.8,106.33333333333333,45.0,29.060000000000002,40.0,4.076352207771056,3.8869565217391306
poisson du monde,9.99,18.84,4.99,3.84,5.0,15.0,3.4,3.1,74.0,19.0,35.27,55.0,3.641935483870968,3.752173913043478
poke inn,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.4,34.0,37.0,29.95,45.0,4.161904761904762,4.170114942528736
poule & poulette,11.99,17.49833333333333,4.99,3.9983333333333335,7.0,13.5,4.2,3.4333333333333336,410.8,109.0,30.157999999999998,46.666666666666664,4.20520979020979,3.668182362027314
pretzel king,15.99,34.0,4.99,9.0,11.0,25.0,4.6,4.5,42.0,140.0,31.31,37.5,4.27391304347826,4.368421052631579
q'bap gent,9.99,23.59,4.99,5.59,5.0,18.0,4.1,4.0,167.0,34.0,24.27,45.0,4.0769585253456215,4.0
q's french tacos,9.99,19.84,4.99,4.84,5.0,15.0,4.1,4.4,500.0,1591.0,35.39,45.0,4.090909090909091,4.387812309567337
quo vadis,9.99,12.99,4.99,2.99,5.0,10.0,4.2,3.9,190.0,73.0,34.5,45.0,4.158333333333333,3.940650406504065
restaurant gabriel,9.99,18.84,4.99,3.84,5.0,15.0,4.4,5.0,33.0,4.0,42.37,60.0,4.159036144578314,4.074074074074074
ristorante kwizien divien,9.99,19.49,4.99,4.49,5.0,15.0,3.6,4.4,16.0,31.0,41.8,35.0,3.9030303030303033,4.153086419753087
romeo e giulietta,9.99,0.0,4.99,0.0,5.0,0.0,4.3,4.5,123.0,214.0,45.05,15.0,4.213294797687861,4.40530303030303
ronin,9.99,23.5,4.99,3.5,5.0,20.0,4.4,4.4,300.0,705.0,24.48,42.5,4.3428571428571425,4.373509933774835
rotis,9.99,12.99,4.99,2.99,5.0,10.0,4.4,4.6,256.0,77.0,39.52,45.0,4.334640522875818,4.363779527559055
royal india,9.99,28.0,4.99,3.0,5.0,25.0,4.7,4.7,114.0,28.0,29.85,42.5,4.486585365853659,4.251282051282051
royal lebanon,9.99,40.0,4.99,0.0,5.0,40.0,4.6,4.6,68.0,231.0,41.14,42.5,4.345762711864406,4.4932384341637
royale pizza express,14.99,14.99,4.99,2.99,10.0,12.0,4.2,4.1,196.0,380.0,36.31,55.0,4.159349593495935,4.088372093023255
ruba healthy & fresh food,9.99,12.99,4.99,2.99,5.0,10.0,4.5,4.2,268.0,352.0,23.346666666666664,40.0,4.39860689171034,4.175124378109453
rōnin asian fusion,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.1,11.0,5.0,39.46,60.0,4.072131147540984,4.009090909090909
saba snack,9.99,15.49,4.99,3.49,5.0,12.0,3.3,3.7,14.0,17.0,33.55,40.0,3.846875,3.923880597014925
sensai,9.99,12.49,4.99,2.49,5.0,10.0,3.6,4.1,95.0,32.0,25.95,50.0,3.7379310344827585,4.0390243902439025
sesam,9.99,45.0,4.99,5.0,5.0,40.0,3.9,3.9,255.0,77.0,39.15,37.5,3.916393442622951,3.9393700787401578
sid's,9.99,23.59,4.99,5.59,5.0,18.0,4.0,4.7,83.0,22.0,26.19,50.0,4.0,4.213888888888889
